Date/Time,Energy Delivered (Wh)
09/13/2023,"21,664"
09/14/2023,"25,400"
09/15/2023,"26,526"
09/16/2023,"21,071"
09/17/2023,"10,077"
09/18/2023,"16,961"
09/19/2023,"9,454"
09/20/2023,"11,380"
09/21/2023,"3,115"
09/22/2023,"9,300"
09/23/2023,"20,910"
09/24/2023,"27,641"
09/25/2023,"14,961"
09/26/2023,"15,208"
09/27/2023,"16,281"
09/28/2023,"12,399"
09/29/2023,"7,847"
09/30/2023,"19,240"
10/01/2023,"25,101"
10/02/2023,"20,171"
10/03/2023,"14,614"
10/04/2023,"14,083"
10/05/2023,"17,159"
10/06/2023,"18,479"
10/07/2023,"18,215"
10/08/2023,"20,712"
10/09/2023,"12,083"
10/10/2023,"21,931"
10/11/2023,"8,233"
10/12/2023,"2,591"
10/13/2023,"3,704"
10/14/2023,"18,933"
10/15/2023,"14,424"
10/16/2023,"15,782"
10/17/2023,"22,639"
10/18/2023,"10,147"
10/19/2023,"5,520"
10/20/2023,892
10/21/2023,"4,918"
10/22/2023,"15,970"
10/23/2023,"5,974"
10/24/2023,"11,395"
10/25/2023,"1,819"
10/26/2023,"5,108"
10/27/2023,"7,521"
10/28/2023,"11,479"
10/29/2023,"5,737"
10/30/2023,"2,429"
10/31/2023,"4,437"
11/01/2023,"5,335"
11/02/2023,"2,214"
11/03/2023,"12,964"
11/04/2023,"1,736"
11/05/2023,"4,248"
11/06/2023,"11,340"
11/07/2023,"19,039"
11/08/2023,"3,718"
11/09/2023,"3,735"
11/10/2023,"5,928"
11/11/2023,"8,041"
11/12/2023,"2,654"
11/13/2023,"5,422"
11/14/2023,"3,357"
11/15/2023,"12,870"
11/16/2023,"1,202"
11/17/2023,"7,255"
11/18/2023,607
11/19/2023,"9,450"
11/20/2023,"4,431"
11/21/2023,"6,565"
11/22/2023,"6,374"
11/23/2023,"13,224"
11/24/2023,"6,547"
11/25/2023,"9,683"
11/26/2023,"2,246"
11/27/2023,654
11/28/2023,"12,128"
11/29/2023,"6,101"
11/30/2023,"2,900"
12/01/2023,"2,765"
12/02/2023,"13,639"
12/03/2023,"1,676"
12/04/2023,"1,092"
12/05/2023,839
12/06/2023,"6,340"
12/07/2023,"4,095"
12/08/2023,"3,445"
12/09/2023,599
12/10/2023,"3,091"
12/11/2023,"3,220"
12/12/2023,"2,069"
12/13/2023,"2,260"
12/14/2023,"1,787"
12/15/2023,"1,153"
12/16/2023,"1,099"
12/17/2023,"12,773"
12/18/2023,"1,118"
12/19/2023,424
12/20/2023,"1,991"
12/21/2023,"2,373"
12/22/2023,"1,351"
12/23/2023,"2,914"
12/24/2023,553
12/25/2023,559
12/26/2023,"5,854"
12/27/2023,"1,416"
12/28/2023,"3,599"
12/29/2023,"2,231"
12/30/2023,"5,440"
12/31/2023,"2,670"
01/01/2024,"4,666"
01/02/2024,513
01/03/2024,"2,473"
01/04/2024,"5,255"
01/05/2024,774
01/06/2024,"1,169"
01/07/2024,"1,090"
01/08/2024,"2,522"
01/09/2024,"16,027"
01/10/2024,"14,376"
01/11/2024,"9,475"
01/12/2024,980
01/13/2024,541
01/14/2024,"1,369"
01/15/2024,"6,721"
01/16/2024,"12,605"
01/17/2024,"1,828"
01/18/2024,"11,298"
01/19/2024,"16,419"
01/20/2024,"10,500"
01/21/2024,"1,911"
01/22/2024,"11,834"
01/23/2024,"4,337"
01/24/2024,"5,188"
01/25/2024,"2,544"
01/26/2024,"17,025"
01/27/2024,"11,580"
01/28/2024,"11,331"
01/29/2024,"10,956"
01/30/2024,"2,004"
01/31/2024,"8,551"
02/01/2024,"18,326"
02/02/2024,"7,196"
02/03/2024,"4,426"
02/04/2024,"7,362"
02/05/2024,"5,081"
02/06/2024,"3,360"
02/07/2024,"5,343"
02/08/2024,964
02/09/2024,"5,136"
02/10/2024,"4,956"
02/11/2024,"5,143"
02/12/2024,"19,668"
02/13/2024,"7,987"
02/14/2024,"1,563"
02/15/2024,"11,248"
02/16/2024,"7,964"
02/17/2024,"9,782"
02/18/2024,"2,755"
02/19/2024,"3,961"
02/20/2024,"6,687"
02/21/2024,"2,258"
02/22/2024,"3,729"
02/23/2024,"8,424"
02/24/2024,"10,473"
02/25/2024,"11,596"
02/26/2024,"3,337"
02/27/2024,"22,110"
02/28/2024,"4,753"
02/29/2024,"2,145"
03/01/2024,"9,209"
03/02/2024,"8,585"
03/03/2024,"2,988"
03/04/2024,"23,845"
03/05/2024,"5,880"
03/06/2024,"15,768"
03/07/2024,"26,032"
03/08/2024,"27,451"
03/09/2024,"18,262"
03/10/2024,"5,260"
03/11/2024,"2,278"
03/12/2024,"5,621"
03/13/2024,"4,621"
03/14/2024,"15,206"
03/15/2024,"10,398"
03/16/2024,"13,856"
03/17/2024,"6,858"
03/18/2024,"20,941"
03/19/2024,"21,871"
03/20/2024,"21,071"
03/21/2024,"8,823"
03/22/2024,"2,505"
03/23/2024,"21,111"
03/24/2024,"10,340"
03/25/2024,"25,510"
03/26/2024,"13,457"
03/27/2024,"19,234"
03/28/2024,"19,751"
03/29/2024,"20,713"
03/30/2024,"7,752"
03/31/2024,"12,638"
04/01/2024,"25,249"
04/02/2024,"9,133"
04/03/2024,"11,239"
04/04/2024,"18,783"
04/05/2024,"16,296"
04/06/2024,"19,227"
04/07/2024,"24,449"
04/08/2024,"20,946"
04/09/2024,"9,334"
04/10/2024,"28,830"
04/11/2024,"4,383"
04/12/2024,"24,541"
04/13/2024,"28,297"
04/14/2024,"20,315"
04/15/2024,"14,613"
04/16/2024,"12,226"
04/17/2024,"19,884"
04/18/2024,"22,975"
04/19/2024,"17,988"
04/20/2024,"21,897"
04/21/2024,"24,938"
04/22/2024,"23,141"
04/23/2024,"23,709"
04/24/2024,"19,753"
04/25/2024,"11,175"
04/26/2024,"19,224"
04/27/2024,"14,355"
04/28/2024,"13,767"
04/29/2024,"26,853"
04/30/2024,"18,146"
05/01/2024,"30,444"
05/02/2024,"20,283"
05/03/2024,"10,969"
05/04/2024,"15,268"
05/05/2024,"23,266"
