sep=,
Version CSV3|Tool WebUI|Linebreaks CR/LF|Delimiter comma

,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033
,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0
,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX
,Metering.TotWhOut,Metering.GridMs.TotWhOut,Metering.GridMs.AbsWhOut,Metering.GridMs.TotWhIn,Metering.GridMs.AbsWhIn
,Analog,Analog,Analog,Analog,Analog
DD.MM.YYYY hh:mm:ss,[Wh],[Wh],[Wh],[Wh],[Wh]
14.11.2020 00:00:00,5911361,0,NaN,0,NaN
15.11.2020 00:00:00,5918628,0,NaN,0,NaN
16.11.2020 00:00:00,5921926,0,NaN,0,NaN
17.11.2020 00:00:00,5934195,0,NaN,0,NaN
18.11.2020 00:00:00,5937411,0,NaN,0,NaN
19.11.2020 00:00:00,5943854,0,NaN,0,NaN
20.11.2020 00:00:00,5945828,0,NaN,0,NaN
21.11.2020 00:00:00,5947967,0,NaN,0,NaN
22.11.2020 00:00:00,5951007,0,NaN,0,NaN
23.11.2020 00:00:00,5969653,0,NaN,0,NaN
24.11.2020 00:00:00,5974898,0,NaN,0,NaN
25.11.2020 00:00:00,5981571,0,NaN,0,NaN
26.11.2020 00:00:00,5982688,0,NaN,0,NaN
27.11.2020 00:00:00,5986713,0,NaN,0,NaN
28.11.2020 00:00:00,6003633,0,NaN,0,NaN
29.11.2020 00:00:00,6010757,0,NaN,0,NaN
30.11.2020 00:00:00,6022295,0,NaN,0,NaN
01.12.2020 00:00:00,6022743,0,NaN,0,NaN
02.12.2020 00:00:00,6023593,0,NaN,0,NaN
03.12.2020 00:00:00,6036511,0,NaN,0,NaN
04.12.2020 00:00:00,6050370,0,NaN,0,NaN
05.12.2020 00:00:00,6051143,0,NaN,0,NaN
06.12.2020 00:00:00,6057422,0,NaN,0,NaN
07.12.2020 00:00:00,6058394,0,NaN,0,NaN
08.12.2020 00:00:00,6059008,0,NaN,0,NaN
09.12.2020 00:00:00,6060310,0,NaN,0,NaN
10.12.2020 00:00:00,6071357,0,NaN,0,NaN
11.12.2020 00:00:00,6073464,0,NaN,0,NaN
12.12.2020 00:00:00,6075018,0,NaN,0,NaN
13.12.2020 00:00:00,6083801,0,NaN,0,NaN
14.12.2020 00:00:00,6084764,0,NaN,0,NaN
15.12.2020 00:00:00,6094022,0,NaN,0,NaN
16.12.2020 00:00:00,6095244,0,NaN,0,NaN
17.12.2020 00:00:00,6096932,0,NaN,0,NaN
18.12.2020 00:00:00,6102072,0,NaN,0,NaN
19.12.2020 00:00:00,6104950,0,NaN,0,NaN
20.12.2020 00:00:00,6109825,0,NaN,0,NaN
21.12.2020 00:00:00,6119304,0,NaN,0,NaN
22.12.2020 00:00:00,6125159,0,NaN,0,NaN
23.12.2020 00:00:00,6137042,0,NaN,0,NaN
24.12.2020 00:00:00,6139229,0,NaN,0,NaN
25.12.2020 00:00:00,6144329,0,NaN,0,NaN
26.12.2020 00:00:00,6144821,0,NaN,0,NaN
27.12.2020 00:00:00,6146854,0,NaN,0,NaN
28.12.2020 00:00:00,6147412,0,NaN,0,NaN
29.12.2020 00:00:00,6149712,0,NaN,0,NaN
30.12.2020 00:00:00,6160741,0,NaN,0,NaN
31.12.2020 00:00:00,6162290,0,NaN,0,NaN
01.01.2021 00:00:00,6162637,0,NaN,0,NaN
02.01.2021 00:00:00,6165026,0,NaN,0,NaN
03.01.2021 00:00:00,6167305,0,NaN,0,NaN
04.01.2021 00:00:00,6170850,0,NaN,0,NaN
05.01.2021 00:00:00,6174597,0,NaN,0,NaN
06.01.2021 00:00:00,6178444,0,NaN,0,NaN
07.01.2021 00:00:00,6181809,0,NaN,0,NaN
08.01.2021 00:00:00,6182848,0,NaN,0,NaN
09.01.2021 00:00:00,6183592,0,NaN,0,NaN
10.01.2021 00:00:00,6184343,0,NaN,0,NaN
11.01.2021 00:00:00,6186544,0,NaN,0,NaN
12.01.2021 00:00:00,6188740,0,NaN,0,NaN
13.01.2021 00:00:00,6192321,0,NaN,0,NaN
14.01.2021 00:00:00,6206169,0,NaN,0,NaN
15.01.2021 00:00:00,6213431,0,NaN,0,NaN
16.01.2021 00:00:00,6214507,0,NaN,0,NaN
17.01.2021 00:00:00,6221853,0,NaN,0,NaN
18.01.2021 00:00:00,6231321,0,NaN,0,NaN
19.01.2021 00:00:00,6234105,0,NaN,0,NaN
20.01.2021 00:00:00,6235140,0,NaN,0,NaN
21.01.2021 00:00:00,6236299,0,NaN,0,NaN
22.01.2021 00:00:00,6240730,0,NaN,0,NaN
23.01.2021 00:00:00,6244398,0,NaN,0,NaN
24.01.2021 00:00:00,6245645,0,NaN,0,NaN
25.01.2021 00:00:00,6248453,0,NaN,0,NaN
26.01.2021 00:00:00,6257830,0,NaN,0,NaN
27.01.2021 00:00:00,6269359,0,NaN,0,NaN
28.01.2021 00:00:00,6275365,0,NaN,0,NaN
29.01.2021 00:00:00,6283904,0,NaN,0,NaN
30.01.2021 00:00:00,6298815,0,NaN,0,NaN
31.01.2021 00:00:00,6312031,0,NaN,0,NaN
01.02.2021 00:00:00,6312907,0,NaN,0,NaN
02.02.2021 00:00:00,6314676,0,NaN,0,NaN
03.02.2021 00:00:00,6320808,0,NaN,0,NaN
04.02.2021 00:00:00,6324413,0,NaN,0,NaN
05.02.2021 00:00:00,6340978,0,NaN,0,NaN
06.02.2021 00:00:00,6342949,0,NaN,0,NaN
07.02.2021 00:00:00,6345689,0,NaN,0,NaN
08.02.2021 00:00:00,6346819,0,NaN,0,NaN
09.02.2021 00:00:00,6363684,0,NaN,0,NaN
10.02.2021 00:00:00,6367503,0,NaN,0,NaN
11.02.2021 00:00:00,6369224,0,NaN,0,NaN
12.02.2021 00:00:00,6369224,0,NaN,0,NaN
13.02.2021 00:00:00,6369224,0,NaN,0,NaN
14.02.2021 00:00:00,6372103,0,NaN,0,NaN
