From (date);From (time);Until (date);Until (time);EAN code;Meter;Meter type;Register;Volume;Unit;Validation status;Caloric upper value;Description
26/10/2023;05:00:00;26/10/2023;06:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;1,067;m³;Read;;
26/10/2023;05:00:00;26/10/2023;06:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;12,091;kWh;Read;;
26/10/2023;06:00:00;26/10/2023;07:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;1,039;m³;Read;;
26/10/2023;06:00:00;26/10/2023;07:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;11,774;kWh;Read;;
26/10/2023;07:00:00;26/10/2023;08:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,081;m³;Read;;
26/10/2023;07:00:00;26/10/2023;08:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,918;kWh;Read;;
26/10/2023;08:00:00;26/10/2023;09:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,219;m³;Read;;
26/10/2023;08:00:00;26/10/2023;09:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;2,482;kWh;Read;;
26/10/2023;09:00:00;26/10/2023;10:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
26/10/2023;09:00:00;26/10/2023;10:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
26/10/2023;10:00:00;26/10/2023;11:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;1,274;m³;Read;;
26/10/2023;10:00:00;26/10/2023;11:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;14,437;kWh;Read;;
26/10/2023;11:00:00;26/10/2023;12:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
26/10/2023;11:00:00;26/10/2023;12:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
26/10/2023;12:00:00;26/10/2023;13:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,431;m³;Read;;
26/10/2023;12:00:00;26/10/2023;13:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;4,884;kWh;Read;;
