Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
12-10-2021;18:00:00;12-10-2021;18:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;18:15:00;12-10-2021;18:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;18:15:00;12-10-2021;18:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;18:30:00;12-10-2021;18:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;18:30:00;12-10-2021;18:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;18:45:00;12-10-2021;19:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;18:45:00;12-10-2021;19:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;19:00:00;12-10-2021;19:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;19:00:00;12-10-2021;19:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;19:15:00;12-10-2021;19:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;19:15:00;12-10-2021;19:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;19:30:00;12-10-2021;19:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;19:30:00;12-10-2021;19:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;19:45:00;12-10-2021;20:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;19:45:00;12-10-2021;20:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;20:00:00;12-10-2021;20:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;20:00:00;12-10-2021;20:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;20:15:00;12-10-2021;20:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;20:15:00;12-10-2021;20:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;20:30:00;12-10-2021;20:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;20:30:00;12-10-2021;20:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;20:45:00;12-10-2021;21:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;20:45:00;12-10-2021;21:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;21:00:00;12-10-2021;21:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;21:00:00;12-10-2021;21:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;21:15:00;12-10-2021;21:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;21:15:00;12-10-2021;21:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;21:30:00;12-10-2021;21:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;21:30:00;12-10-2021;21:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;21:45:00;12-10-2021;22:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;21:45:00;12-10-2021;22:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;22:00:00;12-10-2021;22:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;22:00:00;12-10-2021;22:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;22:15:00;12-10-2021;22:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;22:15:00;12-10-2021;22:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;22:30:00;12-10-2021;22:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;22:30:00;12-10-2021;22:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;22:45:00;12-10-2021;23:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;22:45:00;12-10-2021;23:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;23:00:00;12-10-2021;23:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;23:00:00;12-10-2021;23:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;23:15:00;12-10-2021;23:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;23:15:00;12-10-2021;23:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;23:30:00;12-10-2021;23:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
